id,Dealership,Date,Model,Text
1,A,1/1/2022,2,Drivers love the color of this model.
2,B,1/1/2022,1,Easy to find this model to buy.
3,A,1/2/2022,1,Drivers hear road noise but not loudly.
4,C,1/3/2022,2,Fuel tank accomodates all of my needs.
5,C,1/4/2022,2,Jeep is expensive but worth it for my safety.
6,C,1/5/2022,2,Model is so popular it is hard to find to buy.
7,B,1/6/2022,2,Model is so popular it is hard to find to buy.
8,B,1/7/2022,2,Model is so popular it is hard to find to buy.
9,B,1/8/2022,3,The color of this model is ugly.
10,C,1/9/2022,3,The color of this model is ugly.
11,C,1/10/2022,2,Drivers love the color of this model.
12,C,1/11/2022,2,Drivers love the color of this model.
13,B,1/12/2022,1,Occassionaly gets dents.
14,A,1/13/2022,1,Affordable jeep.
15,A,1/14/2022,1,Affordable jeep.
16,A,1/15/2022,1,Affordable jeep.
17,A,1/16/2022,1,Affordable jeep.
18,A,1/17/2022,2,Fuel tank accomodates all of my needs.
19,A,1/18/2022,2,Jeep is expensive but worth it for my safety.
20,A,1/19/2022,3,Affordable jeep.
21,A,1/20/2022,3,Affordable jeep.
22,A,1/21/2022,3,Affordable jeep.
23,A,1/22/2022,3,Affordable jeep.
24,A,1/23/2022,3,Affordable jeep.
25,A,1/24/2022,3,Affordable jeep.
26,A,1/25/2022,1,Gas mileage is average in this model.
27,C,1/26/2022,2,Gas mileage is great in this model.
28,B,1/27/2022,1,Occassionaly gets dents.
29,C,1/28/2022,3,The color scratches easy.
30,C,1/29/2022,3,Easy to find this model to buy.
31,A,1/30/2022,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
32,A,1/31/2022,3,The fuel tank cover gets stuck closed all of the time.
33,B,2/1/2022,3,Drivers never hear road noise.
34,C,2/2/2022,2,Drivers love the color of this model.
35,B,2/3/2022,2,Model is so popular it is hard to find to buy.
36,C,2/4/2022,2,Fuel tank cover never opens on its own.
37,C,2/5/2022,1,Meets my needs but is not built with high quality materials
38,B,2/6/2022,1,Occassionaly gets dents.
39,A,2/7/2022,2,The materials used for this jeep are high quality.
40,B,2/8/2022,3,While driving down the road the jeep does not feel safe.
41,A,2/9/2022,1,Easy to find this model to buy.
42,B,2/10/2022,1,Drivers hear road noise but not loudly.
43,A,2/11/2022,3,The color of this model is ugly.
44,B,2/12/2022,3,The color of this model is ugly.
45,C,2/13/2022,3,Jeep Design 3 gas mileage is not good.
46,C,2/14/2022,3,The fuel tank cover gets stuck closed all of the time.
47,C,2/15/2022,3,Drivers never hear road noise.
48,C,2/16/2022,1,Occassionaly gets dents.
49,A,2/17/2022,1,Affordable jeep.
50,B,2/18/2022,3,Affordable jeep.
51,B,2/19/2022,3,Affordable jeep.
52,B,2/20/2022,1,Affordable jeep.
53,B,2/21/2022,3,Affordable jeep.
54,B,2/22/2022,3,Affordable jeep.
55,B,2/23/2022,3,Easily dentable.
56,A,2/24/2022,3,The road noise is really loud.
57,C,2/25/2022,3,The color of this model is ugly.
58,B,2/26/2022,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
59,A,2/27/2022,3,The fuel tank cover gets stuck closed all of the time.
60,B,2/28/2022,3,Drivers never hear road noise.
61,A,3/1/2022,2,Drivers love the color of this model.
62,B,3/2/2022,2,Fuel tank accomodates all of my needs.
63,B,3/3/2022,2,Jeep is expensive but worth it for my safety.
64,A,3/4/2022,1,Occassionaly gets dents.
65,C,3/5/2022,2,Drivers feel very safe in this model.
66,A,3/6/2022,1,Drivers don't complain about safety in this model.
67,B,3/7/2022,3,The fuel tank cover gets stuck closed all of the time.
68,B,3/8/2022,3,Drivers never hear road noise.
69,B,3/9/2022,2,Drivers love the color of this model.
70,A,3/10/2022,3,The color of this model is ugly.
71,A,3/11/2022,2,Model is so popular it is hard to find to buy.
72,C,3/12/2022,1,Affordable jeep.
73,C,3/13/2022,3,Affordable jeep.
74,C,3/14/2022,1,Affordable jeep.
75,C,3/15/2022,1,Affordable jeep.
76,C,3/16/2022,1,Affordable jeep.
77,C,3/17/2022,1,Easy to find this model to buy.
78,B,3/18/2022,1,Drivers hear road noise but not loudly.
79,A,3/19/2022,1,Occassionaly gets dents.
80,B,3/20/2022,3,Jeep Design 3 gas mileage is not good.
81,A,3/21/2022,2,Drivers love the color of this model.
82,B,3/22/2022,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
83,C,3/23/2022,1,Fuel tank works for driver needs.
84,B,3/24/2022,1,Gas mileage is average in this model.
85,B,3/25/2022,2,Gas mileage is great in this model.
86,C,3/26/2022,1,Occassionaly gets dents.
87,B,3/27/2022,3,Jeep Design 3 gas mileage is not good.
88,C,3/28/2022,2,Model is so popular it is hard to find to buy.
89,B,3/29/2022,3,The fuel tank cover gets stuck closed all of the time.
90,A,3/30/2022,3,Drivers never hear road noise.
91,B,3/31/2022,3,Jeep Design 3 gas mileage is not good.
92,A,4/1/2022,2,Drivers love the color of this model.
93,C,4/2/2022,3,Jeep Design 3 gas mileage is not good.
94,A,4/3/2022,1,Occassionaly gets dents.
95,B,4/4/2022,2,Fuel tank cover never opens on its own.
96,B,4/5/2022,1,Meets my needs but is not built with high quality materials
97,B,4/6/2022,1,Affordable jeep.
98,B,4/7/2022,1,Affordable jeep.
99,B,4/8/2022,1,Affordable jeep.
100,B,4/9/2022,1,Affordable jeep.
101,C,4/10/2022,3,The fuel tank cover gets stuck closed all of the time.
102,C,4/11/2022,3,Drivers never hear road noise.
103,B,4/12/2022,2,Model is so popular it is hard to find to buy.
104,C,4/13/2022,2,Fuel tank accomodates all of my needs.
105,A,4/14/2022,2,Jeep is expensive but worth it for my safety.
106,B,4/15/2022,2,Drivers love the color of this model.
107,A,4/16/2022,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
108,C,4/17/2022,2,Model is so popular it is hard to find to buy.
109,B,4/18/2022,3,The color scratches easy.
110,A,4/19/2022,3,Easy to find this model to buy.
111,C,4/20/2022,3,Jeep Design 3 gas mileage is not good.
112,C,4/21/2022,2,Drivers love the color of this model.
113,B,4/22/2022,3,The color of this model is ugly.
114,C,4/23/2022,3,Jeep Design 3 gas mileage is not good.
115,A,4/24/2022,1,Fuel tank works for driver needs.
116,B,4/25/2022,3,Easily dentable.
117,C,4/26/2022,3,The road noise is really loud.
118,B,4/27/2022,1,Occassionaly gets dents.
119,C,4/28/2022,3,Jeep Design 3 gas mileage is not good.
120,A,4/29/2022,2,Drivers love the color of this model.
121,B,4/30/2022,1,Gas mileage is average in this model.
122,A,5/1/2022,2,Gas mileage is great in this model.
123,B,5/2/2022,3,The color of this model is ugly.
124,C,5/3/2022,2,Drivers love the color of this model.
125,A,5/4/2022,3,Affordable jeep.
126,A,5/5/2022,3,Affordable jeep.
127,A,5/6/2022,2,Fuel tank cover never opens on its own.
128,A,5/7/2022,1,Meets my needs but is not built with high quality materials
129,A,5/8/2022,1,Affordable jeep.
130,A,5/9/2022,1,Affordable jeep.
131,B,5/10/2022,1,Occassionaly gets dents.
132,C,5/11/2022,2,The materials used for this jeep are high quality.
133,C,5/12/2022,3,While driving down the road the jeep does not feel safe.
134,C,5/13/2022,3,Fuel tank cover opens constantly on its own and makes it unsafe while driving. 
135,C,5/14/2022,3,Easily dentable.
136,A,5/15/2022,3,The road noise is really loud.
137,A,5/16/2022,1,Fuel tank works for driver needs.
138,B,5/17/2022,1,Fuel tank works for driver needs.
139,A,5/18/2022,2,Fuel tank cover never opens on its own.
140,B,5/19/2022,1,Meets my needs but is not built with high quality materials
141,A,5/20/2022,1,Fuel tank works for driver needs.
142,B,5/21/2022,3,The color of this model is ugly.
143,A,5/22/2022,3,The color of this model is ugly.
144,B,5/23/2022,2,Drivers love the color of this model.
145,A,5/24/2022,3,The color of this model is ugly.
146,B,5/25/2022,1,Accident in jeep didn't end in explosion.
147,A,5/26/2022,2,Accident in jeep didn't end in explosion.
148,B,5/27/2022,1,Fuel tank works for driver needs.
149,C,5/28/2022,1,Affordable jeep.
150,C,5/29/2022,2,Fuel tank cover never opens on its own.
151,C,5/30/2022,1,Meets my needs but is not built with high quality materials
152,C,5/31/2022,3,Affordable jeep.
153,C,6/1/2022,1,Affordable jeep.
154,C,6/2/2022,1,Easy to find this model to buy.
155,A,6/3/2022,1,Drivers hear road noise but not loudly.
156,B,6/4/2022,3,The color of this model is ugly.
157,A,6/5/2022,2,Drivers feel very safe in this model.
158,A,6/6/2022,1,Drivers don't complain about safety in this model.
159,A,6/7/2022,2,The materials used for this jeep are high quality.
160,B,6/8/2022,3,While driving down the road the jeep does not feel safe.
161,A,6/9/2022,3,Easily dentable.
162,A,6/10/2022,3,The road noise is really loud.
163,A,6/11/2022,1,Affordable jeep.
